"","p","U.0","U.1","U.2","Ksl","Us.0","Us.1","Us.2","rho","voidfraction","Volume","Cell.Type"
"1",351.28,-0.00049939,0.0053865,1.8611,81.516,0.0020422,0.0011447,-0.014997,1.21,0.9832,0.000019629,1
"2",90.789,-0.0058846,0.00027724,1.8624,251.96,-0.00039925,0.00040173,-0.10631,1.21,0.96576,0.000019629,1
"3",148.21,0.12072,-0.017718,2.3461,6029.4,-0.44146,-0.29999,-0.038015,1.21,0.69037,0.000019629,1
"4",258.23,-0.3266,0.50203,2.446,5993.7,-0.18592,0.24243,0.083535,1.21,0.66485,0.000019629,1
"5",155.93,-0.2594,-0.000064638,2.1643,2869.9,-0.08938,0.10297,0.016519,1.21,0.78238,0.000019629,1
"6",128.66,-0.024526,-0.18538,2.2197,3741.2,-0.022341,-0.0062393,0.0052865,1.21,0.73567,0.000019629,1
"7",193.99,0.0098288,-0.56091,2.2051,4665.9,-0.0047531,-0.1154,0.019844,1.21,0.70893,0.000019629,1
"8",222.33,0.26062,-0.33875,2.2939,4211.7,0.096718,-0.2202,0.10274,1.21,0.7304,0.000019629,1
"9",141.64,0.063515,0.15187,2.0503,2511.7,0.090887,-0.10139,-0.021708,1.21,0.80571,0.000019629,1
"10",170.28,-0.20141,0.63953,2.3205,4818.9,0.022094,0.064699,0.016821,1.21,0.7047,0.000019629,1
"11",264.52,-0.43769,0.48422,2.3825,6575.1,-0.084338,0.19332,0.038292,1.21,0.64743,0.000019629,1
"12",176.36,0.22119,-0.60806,1.9789,1202.3,-0.086252,0.11389,0.035169,1.21,0.88736,0.000019629,1
"13",101.05,0.47494,-0.72537,1.9988,2126,0.018831,-0.068016,-0.085582,1.21,0.84896,0.000019629,1
"14",92.898,0.865,0.51743,1.9995,2742.4,-0.19404,0.010892,-0.087669,1.21,0.81393,0.000019629,1
"15",159.2,0.59687,-1.4719,2.2135,5033.5,0.17727,-0.31784,0.0037263,1.21,0.71177,0.000019629,1
"16",247.06,-0.040445,-0.44751,2.3478,5105.9,0.075873,-0.31992,0.091381,1.21,0.70715,0.000019629,1
"17",134.87,-0.068063,-0.13165,2.2071,4265.1,0.032045,-0.12589,-0.0033302,1.21,0.72697,0.000019629,1
"18",165.82,-0.15552,0.55707,2.1757,2911.7,-0.019346,-0.0046339,0.063212,1.21,0.78221,0.000019629,1
"19",172.38,-0.29888,0.62925,2.1553,3857.8,-0.049331,0.14204,-0.046782,1.21,0.73531,0.000019629,1
"20",195.4,0.10839,-0.13086,2.242,4543.2,-0.035781,0.15965,0.10582,1.21,0.71688,0.000019629,1
"21",139.47,-0.15169,-0.43212,2.0857,2855.4,0.008699,0.0014073,-0.014342,1.21,0.78179,0.000019629,1
"22",157.8,-0.32364,-0.42212,2.2986,4906.6,-0.11386,-0.093047,0.035812,1.21,0.69337,0.000019629,1
