,Ksl,U.0,U.1,U.2,Us.0,Us.1,Us.2,cellID,cellLevel,epsilon,k,nut,p,p_backup,rho,voidfraction,Volume,Cell.Type,t,dp
1,0,0,0,0,0,0,0,3754.8,0.95527,0.003,0.001,0,0,0,1.21,1,0.000019624,1,0,0
2,1023.9,-0.029449,-0.010469,0.77639,0.012227,0.0058826,-0.049677,3754.8,NA,NA,NA,NA,148.92,NA,1.21,0.86322,0.000019624,1,0.05,180.1932
3,4345.5,0.077828,0.11058,0.90815,0.0011214,0.0013164,-0.10322,3754.8,NA,NA,NA,NA,55.898,NA,1.21,0.71782,0.000019624,1,0.1,67.63658
4,6588.9,0.037012,0.32892,1.0285,0.035584,0.029804,-0.032717,3754.8,NA,NA,NA,NA,118.74,NA,1.21,0.59291,0.000019624,1,0.15,143.6754
5,7798.1,-0.059071,-0.10085,1.1402,-0.00049698,0.03272,0.030294,3754.8,NA,NA,NA,NA,218.14,NA,1.21,0.55069,0.000019624,1,0.2,263.9494
6,4593.9,-0.074173,-0.30075,0.96109,-0.015986,-0.033164,-0.041502,3754.8,NA,NA,NA,NA,81.57,NA,1.21,0.66398,0.000019624,1,0.25,98.6997
7,9574.8,-0.16678,-0.010778,1.1855,-0.056466,-0.031367,0.00027485,3754.8,NA,NA,NA,NA,163.02,NA,1.21,0.50885,0.000019624,1,0.3,197.2542
8,4326.9,0.46449,-0.16086,0.95397,0.035088,-0.043291,0.017603,3754.8,NA,NA,NA,NA,150.48,NA,1.21,0.67469,0.000019624,1,0.35,182.0808
9,5890.4,0.25498,-0.081623,1.002,0.064965,-0.034424,-0.071176,3754.8,NA,NA,NA,NA,72.42,NA,1.21,0.62861,0.000019624,1,0.4,87.6282
10,9156.1,0.068335,-0.023408,1.2185,0.034758,-0.010429,0.04688,3754.8,NA,NA,NA,NA,238.9,NA,1.21,0.51815,0.000019624,1,0.45,289.069
11,4091.2,0.04756,-0.2073,0.92325,0.019462,-0.022629,-0.042824,3754.8,NA,NA,NA,NA,83.156,NA,1.21,0.6842,0.000019624,1,0.5,100.61876
12,8850.1,-0.13836,0.018154,1.1611,-0.015059,-0.0020063,-0.0203,3754.8,NA,NA,NA,NA,118.1,NA,1.21,0.5312,0.000019624,1,0.55,142.901
13,6146.1,0.19696,-0.23451,1.0554,-0.020983,-0.040891,0.034522,3754.8,NA,NA,NA,NA,202.68,NA,1.21,0.61229,0.000019624,1,0.6,245.2428
14,8926.9,0.18198,0.20242,1.1448,0.036047,0.032247,-0.047476,3754.8,NA,NA,NA,NA,109.96,NA,1.21,0.54139,0.000019624,1,0.65,133.0516
15,5204.7,0.12451,-0.18685,0.97626,0.020137,-0.064668,-0.05864,3754.8,NA,NA,NA,NA,75.822,NA,1.21,0.64606,0.000019624,1,0.7,91.74462
16,9758.8,0.059621,0.042432,1.2148,0.01695,-0.0082828,0.032857,3754.8,NA,NA,NA,NA,196.13,NA,1.21,0.50156,0.000019624,1,0.75,237.3173
17,4459.4,0.0091168,-0.23311,0.95952,0.021057,-0.028521,-0.0060165,3754.8,NA,NA,NA,NA,114.66,NA,1.21,0.6561,0.000019624,1,0.8,138.7386
18,8145,-0.13148,0.03502,1.1105,0.010241,0.011799,-0.030799,3754.8,NA,NA,NA,NA,108.66,NA,1.21,0.54874,0.000019624,1,0.85,131.4786
19,6303.4,-0.063033,-0.32726,1.0633,-0.041839,-0.044259,0.044459,3754.8,NA,NA,NA,NA,201.45,NA,1.21,0.60233,0.000019624,1,0.9,243.7545
20,4517.3,-0.012335,-0.27207,0.9571,-0.02259,-0.068613,-0.069195,3754.8,NA,NA,NA,NA,83.403,NA,1.21,0.66852,0.000019624,1,0.95,100.91763
21,10260,-0.014105,0.018598,1.2567,0.00056308,-0.0017127,0.027542,3754.8,NA,NA,NA,NA,223.55,NA,1.21,0.49095,0.000019624,1,1,270.4955
22,3290.4,0.05129,-0.28555,0.91642,0.0073157,-0.028652,-0.0042838,3754.8,NA,NA,NA,NA,119,NA,1.21,0.71789,0.000019624,1,1.05,143.99
23,5619.7,-0.016565,-0.11857,0.98089,0.025833,-0.015052,-0.078323,3754.8,NA,NA,NA,NA,63.963,NA,1.21,0.65331,0.000019624,1,1.1,77.39523
24,9702.1,-0.21422,-0.20397,1.2043,-0.015891,-0.037651,0.033795,3754.8,NA,NA,NA,NA,228.27,NA,1.21,0.50504,0.000019624,1,1.15,276.2067
25,6982.9,0.081035,0.078425,1.1364,0.063661,0.089033,0.063836,3754.8,NA,NA,NA,NA,213.85,NA,1.21,0.57477,0.000019624,1,1.2,258.7585
26,3148.3,-0.088478,0.022701,0.93154,-0.077865,-0.046757,-0.0044204,3754.8,NA,NA,NA,NA,127.85,NA,1.21,0.71235,0.000019624,1,1.25,154.6985
27,5654.5,-0.027069,-0.091492,0.9777,-0.027005,-0.0045414,-0.081675,3754.8,NA,NA,NA,NA,66.507,NA,1.21,0.64635,0.000019624,1,1.3,80.47347
28,9100.7,0.016099,-0.037283,1.1978,0.019516,0.0082812,0.047421,3754.8,NA,NA,NA,NA,220.84,NA,1.21,0.51904,0.000019624,1,1.35,267.2164
29,4522.7,0.0093343,0.10398,0.96862,0.022316,0.027964,-0.025004,3754.8,NA,NA,NA,NA,116.15,NA,1.21,0.67316,0.000019624,1,1.4,140.5415
30,6391.6,0.086291,0.0094177,1.0081,0.054153,0.045041,-0.042297,3754.8,NA,NA,NA,NA,77.727,NA,1.21,0.60446,0.000019624,1,1.45,94.04967
31,10739,-0.15106,-0.09912,1.2873,-0.034669,-0.035124,0.041789,3754.8,NA,NA,NA,NA,290.71,NA,1.21,0.47961,0.000019624,1,1.5,351.7591
32,2056.8,-0.022406,0.070923,0.85486,-0.035874,-0.018992,-0.033376,3754.8,NA,NA,NA,NA,127.83,NA,1.21,0.77875,0.000019624,1,1.55,154.6743
33,4354.1,-0.13744,0.070455,0.92596,-0.02812,-0.0054633,-0.11401,3754.8,NA,NA,NA,NA,44.518,NA,1.21,0.72909,0.000019624,1,1.6,53.86678
34,9540.8,-0.0376,0.1012,1.1736,0.0013992,0.036917,-0.055774,3754.8,NA,NA,NA,NA,112.69,NA,1.21,0.51932,0.000019624,1,1.65,136.3549
35,5912.2,-0.039812,0.10025,1.0573,-0.038892,0.046566,0.049477,3754.8,NA,NA,NA,NA,190.46,NA,1.21,0.61612,0.000019624,1,1.7,230.4566
36,3971.8,-0.028192,-0.42542,0.89423,0.04393,0.017181,-0.073331,3754.8,NA,NA,NA,NA,65.932,NA,1.21,0.70364,0.000019624,1,1.75,79.77772
37,5157.7,0.032273,-0.09426,0.96278,0.019484,0.037873,-0.053135,3754.8,NA,NA,NA,NA,73.276,NA,1.21,0.64461,0.000019624,1,1.8,88.66396
38,9999,0.12889,-0.19616,1.19,0.025067,-0.02982,0.0020719,3754.8,NA,NA,NA,NA,194.18,NA,1.21,0.49618,0.000019624,1,1.85,234.9578
39,3070,-0.27203,0.2333,0.90613,-0.0030741,-0.024542,0.0062175,3754.8,NA,NA,NA,NA,137.21,NA,1.21,0.72278,0.000019624,1,1.9,166.0241
40,5027.8,-0.36358,0.20537,0.93134,-0.023068,-0.0012356,-0.096259,3754.8,NA,NA,NA,NA,45.474,NA,1.21,0.68529,0.000019624,1,1.95,55.02354
41,9588.1,-0.36134,0.3825,1.2052,-0.12682,0.099017,0.027479,3754.8,NA,NA,NA,NA,194.8,NA,1.21,0.51265,0.000019624,1,2,235.708
42,4911.3,0.16642,0.1426,1.0032,-0.067993,0.10397,0.0027366,3754.8,NA,NA,NA,NA,158.02,NA,1.21,0.64934,0.000019624,1,2.05,191.2042
43,5369.6,0.38716,-0.18832,0.96239,0.015291,0.023246,-0.050335,3754.8,NA,NA,NA,NA,89.66,NA,1.21,0.65945,0.000019624,1,2.1,108.4886
44,8047.9,0.045229,-0.14338,1.1356,0.093306,-0.0946,0.020341,3754.8,NA,NA,NA,NA,214.71,NA,1.21,0.55466,0.000019624,1,2.15,259.7991
45,5871.6,-0.4718,0.29042,0.98322,0.0046696,-0.030556,-0.054971,3754.8,NA,NA,NA,NA,87.525,NA,1.21,0.63027,0.000019624,1,2.2,105.90525
