,p,U.0,U.1,U.2,Ksl,Us.0,Us.1,Us.2,rho,voidfraction,Volume,Cell.Type,t,dp
1,130.97,0.033029,0.0078211,1.3133,319.11,0.0035806,0.0019159,-0.0011314,1.21,0.94346,0.000019629,1,0.05,158.4737
2,68.808,-0.024813,-0.0081348,1.3313,841.44,0.0080709,0.0039344,-0.19277,1.21,0.91044,0.000019629,1,0.1,83.25768
3,73.198,-0.46237,-0.58153,1.4848,2826.3,-0.056583,-0.077259,-0.067047,1.21,0.79154,0.000019629,1,0.15,88.56958
4,105.39,-0.50615,-0.41827,1.6684,5896.1,-0.15764,-0.18567,-0.052978,1.21,0.65357,0.000019629,1,0.2,127.5219
5,134.36,-0.3357,-0.12442,1.6239,5317,-0.19571,-0.16489,0.010957,1.21,0.67908,0.000019629,1,0.25,162.5756
6,151.12,-0.054255,0.39434,1.7114,7064.3,-0.21935,-0.11015,0.013221,1.21,0.62016,0.000019629,1,0.3,182.8552
7,170.88,0.62625,0.44319,1.6286,4751.6,-0.015265,0.13215,0.023203,1.21,0.69644,0.000019629,1,0.35,206.7648
8,127.32,0.10732,-1.181,1.525,3741.2,0.060322,-0.028648,-0.059552,1.21,0.74466,0.000019629,1,0.4,154.0572
9,222.17,-0.67402,-0.5832,1.7339,5923.4,-0.058118,-0.25274,0.030755,1.21,0.6506,0.000019629,1,0.45,268.8257
10,151.25,-0.43039,0.72663,1.5,2867.2,-0.089575,-0.080022,-0.050292,1.21,0.77713,0.000019629,1,0.5,183.0125
11,151.63,-0.11919,0.69321,1.688,5807,-0.055621,0.071816,-0.065484,1.21,0.64649,0.000019629,1,0.55,183.4723
12,256.58,0.14364,0.61739,1.574,2979.8,-0.021151,0.13159,0.064866,1.21,0.77001,0.000019629,1,0.6,310.4618
13,36.53,-0.025834,-0.0091377,1.3799,1724.8,0.0041017,0.0041332,-0.24011,1.21,0.8689,0.000019629,1,0.65,44.2013
14,89.078,0.35008,0.087203,1.5198,3452.5,0.05375,0.10378,-0.077338,1.21,0.7644,0.000019629,1,0.7,107.78438
15,95.758,0.35944,0.012219,1.6944,5429,0.15579,0.07442,0.0030687,1.21,0.65816,0.000019629,1,0.75,115.86718
16,173.57,-0.34733,-0.54546,1.765,6858.5,0.052462,-0.050235,0.016609,1.21,0.61835,0.000019629,1,0.8,210.0197
17,270.79,-0.061085,-0.46588,1.7209,5381.2,-0.086165,-0.23457,0.043084,1.21,0.67416,0.000019629,1,0.85,327.6559
18,88.539,-0.0045054,0.16625,1.5295,3594.8,-0.049251,-0.14067,-0.017517,1.21,0.73839,0.000019629,1,0.9,107.13219
19,130.75,0.21568,0.65054,1.6454,5019.5,0.0052373,0.082956,-0.039121,1.21,0.68774,0.000019629,1,0.95,158.2075
20,241.5,0.32979,0.034927,1.6974,6319.7,0.089879,0.10111,-0.014709,1.21,0.6343,0.000019629,1,1,292.215
21,185.04,-0.12176,-0.55185,1.5775,2967.3,0.12462,0.050511,0.085502,1.21,0.77519,0.000019629,1,1.05,223.8984
22,98.778,-0.39674,-0.4478,1.4268,2251.2,0.028663,-0.064367,-0.09732,1.21,0.82078,0.000019629,1,1.1,119.52138
