time,p,Ksl,Us.0,Us.1,Us.2,cellLevel,epsilon,k,nut,rho,voidfraction,Area,Cell.Type,epoch,pressure_drop,,U.0,U.1,U.2
0.05,43.547,15119,8.75E-07,6.05E-07,4.56E-05,NA,NA,NA,NA,1.21,1,0.0017102,1,1,52.69187,,0,0,0.05
0.1,43.508,15116,-3.08E-06,-7.15E-07,3.13E-05,NA,NA,NA,NA,1.21,1,0.0017102,1,2,52.64468,,0,0,0.05
0.15,43.534,15116,1.11E-06,3.07E-07,-3.31E-06,NA,NA,NA,NA,1.21,1,0.0017102,1,3,52.67614,,0,0,0.05
0.2,43.573,15119,1.95E-06,8.63E-07,-1.97E-05,NA,NA,NA,NA,1.21,1,0.0017102,1,4,52.72333,,0,0,0.05
0.25,43.579,15120,-1.26E-06,-6.65E-07,-7.72E-06,NA,NA,NA,NA,1.21,1,0.0017102,1,5,52.73059,,0,0,0.05
0.3,43.55,15119,2.83E-07,2.25E-07,9.20E-06,NA,NA,NA,NA,1.21,1,0.0017102,1,6,52.6955,,0,0,0.05
0.35,43.537,15118,-1.49E-07,-3.81E-08,8.75E-06,NA,NA,NA,NA,1.21,1,0.0017102,1,7,52.67977,,0,0,0.05
0.4,43.551,15118,-4.07E-07,-2.32E-07,-1.93E-06,NA,NA,NA,NA,1.21,1,0.0017102,1,8,52.69671,,0,0,0.05
0.45,43.562,15118,7.75E-07,3.55E-07,-5.52E-06,NA,NA,NA,NA,1.21,1,0.0017102,1,9,52.71002,,0,0,0.05
0.5,43.558,15119,-1.78E-07,-1.32E-07,-1.16E-06,NA,NA,NA,NA,1.21,1,0.0017102,1,10,52.70518,,0,0,0.05
0.55,43.553,15118,-3.03E-07,-1.17E-07,2.18E-06,NA,NA,NA,NA,1.21,1,0.0017102,1,11,52.69913,,0,0,0.05
0.6,43.552,15118,1.09E-06,-4.62E-07,1.23E-06,NA,NA,NA,NA,1.21,1,0.0017102,1,12,52.69792,,0,0,0.05
0.65,43.553,15118,-1.96E-07,-9.95E-08,-3.03E-07,NA,NA,NA,NA,1.21,1,0.0017102,1,13,52.69913,,0,0,0.05
0.7,43.555,15118,4.24E-07,9.78E-08,-8.33E-07,NA,NA,NA,NA,1.21,1,0.0017102,1,14,52.70155,,0,0,0.05
0.75,43.556,15118,3.48E-07,3.69E-08,-5.33E-07,NA,NA,NA,NA,1.21,1,0.0017102,1,15,52.70276,,0,0,0.05
0.8,43.555,15118,1.48E-08,-1.49E-07,2.33E-07,NA,NA,NA,NA,1.21,1,0.0017102,1,16,52.70155,,0,0,0.05
0.85,43.554,15118,3.47E-08,1.57E-08,5.06E-07,NA,NA,NA,NA,1.21,1,0.0017102,1,17,52.70034,,0,0,0.05
0.9,43.554,15118,6.22E-08,7.90E-08,8.80E-08,NA,NA,NA,NA,1.21,1,0.0017102,1,18,52.70034,,0,0,0.05
0.95,43.555,15118,-1.03E-07,-8.80E-08,-2.78E-07,NA,NA,NA,NA,1.21,1,0.0017102,1,19,52.70155,,0,0,0.05
1,43.555,15118,5.80E-08,2.38E-08,-1.57E-07,NA,NA,NA,NA,1.21,1,0.0017102,1,20,52.70155,,0,0,0.05
1.05,43.554,15118,9.21E-09,2.10E-08,8.18E-08,NA,NA,NA,NA,1.21,1,0.0017102,1,21,52.70034,,0,0,0.05
1.1,43.554,15118,-9.55E-08,-4.14E-08,1.06E-07,NA,NA,NA,NA,1.21,1,0.0017102,1,22,52.70034,,0,0,0.05
1.15,43.554,15118,7.47E-08,4.61E-08,1.50E-08,NA,NA,NA,NA,1.21,1,0.0017102,1,23,52.70034,,0,0,0.05
1.2,43.554,15118,-1.83E-08,-1.22E-08,-3.72E-08,NA,NA,NA,NA,1.21,1,0.0017102,1,24,52.70034,,0,0,0.05
1.25,43.554,15118,-4.89E-08,-1.78E-08,-3.17E-08,NA,NA,NA,NA,1.21,1,0.0017102,1,25,52.70034,,0,0,0.05
1.3,43.554,15118,5.91E-08,2.48E-08,4.08E-10,NA,NA,NA,NA,1.21,1,0.0017102,1,26,52.70034,,0,0,0.05
1.35,43.554,15118,-1.91E-08,-8.62E-09,2.19E-08,NA,NA,NA,NA,1.21,1,0.0017102,1,27,52.70034,,0,0,0.05
1.4,43.554,15118,-2.17E-08,-8.18E-09,1.29E-08,NA,NA,NA,NA,1.21,1,0.0017102,1,28,52.70034,,0,0,0.05
1.45,43.554,15118,3.27E-08,1.37E-08,-8.48E-09,NA,NA,NA,NA,1.21,1,0.0017102,1,29,52.70034,,0,0,0.05
1.5,43.554,15118,-1.39E-08,-9.25E-09,-1.20E-08,NA,NA,NA,NA,1.21,1,0.0017102,1,30,52.70034,,0,0,0.05
1.55,43.554,15118,-7.29E-09,-2.54E-09,-5.79E-10,NA,NA,NA,NA,1.21,1,0.0017102,1,31,52.70034,,0,0,0.05
1.6,43.554,15118,1.83E-08,1.13E-08,5.97E-09,NA,NA,NA,NA,1.21,1,0.0017102,1,32,52.70034,,0,0,0.05
1.65,43.554,15118,-1.46E-08,-1.05E-08,3.17E-09,NA,NA,NA,NA,1.21,1,0.0017102,1,33,52.70034,,0,0,0.05
1.7,43.554,15118,1.08E-09,1.96E-09,-9.08E-10,NA,NA,NA,NA,1.21,1,0.0017102,1,34,52.70034,,0,0,0.05
1.75,43.554,15118,1.11E-08,5.71E-09,-2.60E-09,NA,NA,NA,NA,1.21,1,0.0017102,1,35,52.70034,,0,0,0.05
1.8,43.554,15118,-1.26E-08,-7.21E-09,-1.32E-09,NA,NA,NA,NA,1.21,1,0.0017102,1,36,52.70034,,0,0,0.05
1.85,43.554,15118,4.82E-09,3.48E-09,8.83E-10,NA,NA,NA,NA,1.21,1,0.0017102,1,37,52.70034,,0,0,0.05
1.9,43.554,15118,5.11E-09,1.57E-09,1.46E-09,NA,NA,NA,NA,1.21,1,0.0017102,1,38,52.70034,,0,0,0.05
1.95,43.554,15118,-9.62E-09,-4.48E-09,3.35E-10,NA,NA,NA,NA,1.21,1,0.0017102,1,39,52.70034,,0,0,0.05
2,43.554,15118,5.27E-09,3.56E-09,-8.80E-10,NA,NA,NA,NA,1.21,1,0.0017102,1,40,52.70034,,0,0,0.05
2.05,66.118,15190,2.22E-07,1.03E-07,9.01E-06,NA,NA,NA,NA,1.21,1,0.0017102,1,41,80.00278,,0,0,0.075
2.1,88.857,15260,1.99E-07,2.26E-08,8.62E-06,NA,NA,NA,NA,1.21,1,0.0017102,1,42,107.51697,,0,0,0.1
2.15,88.667,15261,-1.24E-07,1.58E-08,1.91E-06,NA,NA,NA,NA,1.21,1,0.0017102,1,43,107.28707,,0,0,0.1
2.2,88.671,15261,4.34E-08,1.06E-08,-2.51E-06,NA,NA,NA,NA,1.21,1,0.0017102,1,44,107.29191,,0,0,0.1
2.25,88.665,15261,9.65E-08,5.61E-08,1.51E-06,NA,NA,NA,NA,1.21,1,0.0017102,1,45,107.28465,,0,0,0.1
2.3,88.67,15261,-8.67E-08,-5.31E-08,-2.52E-07,NA,NA,NA,NA,1.21,1,0.0017102,1,46,107.2907,,0,0,0.1
2.35,88.669,15261,1.39E-07,8.49E-08,-5.72E-07,NA,NA,NA,NA,1.21,1,0.0017102,1,47,107.28949,,0,0,0.1
2.4,88.667,15261,-1.11E-07,-4.50E-08,6.35E-07,NA,NA,NA,NA,1.21,1,0.0017102,1,48,107.28707,,0,0,0.1
2.45,88.669,15261,5.87E-08,1.14E-08,-3.91E-07,NA,NA,NA,NA,1.21,1,0.0017102,1,49,107.28949,,0,0,0.1
2.5,88.668,15261,-8.74E-10,2.81E-08,6.46E-09,NA,NA,NA,NA,1.21,1,0.0017102,1,50,107.28828,,0,0,0.1
2.55,88.668,15261,-2.06E-08,-5.36E-08,1.22E-07,NA,NA,NA,NA,1.21,1,0.0017102,1,51,107.28828,,0,0,0.1
2.6,88.669,15261,6.21E-08,5.86E-08,-1.23E-07,NA,NA,NA,NA,1.21,1,0.0017102,1,52,107.28949,,0,0,0.1
2.65,88.668,15261,-5.99E-08,-4.77E-08,9.25E-08,NA,NA,NA,NA,1.21,1,0.0017102,1,53,107.28828,,0,0,0.1
2.7,88.669,15261,1.48E-08,1.58E-08,-2.19E-08,NA,NA,NA,NA,1.21,1,0.0017102,1,54,107.28949,,0,0,0.1
2.75,88.669,15261,-8.31E-09,8.63E-09,1.99E-08,NA,NA,NA,NA,1.21,1,0.0017102,1,55,107.28949,,0,0,0.1
2.8,88.668,15261,-2.86E-09,-1.87E-08,1.78E-08,NA,NA,NA,NA,1.21,1,0.0017102,1,56,107.28828,,0,0,0.1
