"Ksl","Us:0","Us:1","Us:2","cellLevel","epsilon","k","nut","p","rho","voidfraction","Cell Type"
0,0,0,0,0,0.003,0.001,0,0,1.21,1,5
0,0,0,0,0,0.003,0.001,0,0,1.21,1,5
0,0,0,0,0,0.003,0.001,0,0,1.21,1,9
0,0,0,0,0,0.003,0.001,0,0,1.21,1,9
0,0,0,0,0,0.003,0.001,0,0,1.21,1,9
0,0,0,0,0,0.003,0.001,0,0,1.21,1,9
0,0,0,0,0,0.003,0.001,0,0,1.21,1,9
0,0,0,0,0,0.003,0.001,0,0,1.21,1,9
0,0,0,0,0,0.003,0.001,0,0,1.21,1,9
0,0,0,0,0,0.003,0.001,0,0,1.21,1,9
0,0,0,0,0,0.003,0.001,0,0,1.21,1,5
0,0,0,0,0,0.003,0.001,0,0,1.21,1,9
0,0,0,0,0,0.003,0.001,0,0,1.21,1,9
0,0,0,0,0,0.003,0.001,0,0,1.21,1,9
0,0,0,0,0,0.003,0.001,0,0,1.21,1,9
0,0,0,0,0,0.003,0.001,0,0,1.21,1,9
0,0,0,0,0,0.003,0.001,0,0,1.21,1,9
0,0,0,0,0,0.003,0.001,0,0,1.21,1,9
0,0,0,0,0,0.003,0.001,0,0,1.21,1,9
0,0,0,0,0,0.003,0.001,0,0,1.21,1,9
0,0,0,0,0,0.003,0.001,0,0,1.21,1,5
0,0,0,0,0,0.003,0.001,0,0,1.21,1,9
0,0,0,0,0,0.003,0.001,0,0,1.21,1,9
0,0,0,0,0,0.003,0.001,0,0,1.21,1,5
0,0,0,0,0,0.003,0.001,0,0,1.21,1,5
0,0,0,0,0,0.003,0.001,0,0,1.21,1,5
0,0,0,0,0,0.003,0.001,0,0,1.21,1,9
0,0,0,0,0,0.003,0.001,0,0,1.21,1,9
0,0,0,0,0,0.003,0.001,0,0,1.21,1,9
0,0,0,0,0,0.003,0.001,0,0,1.21,1,9
0,0,0,0,0,0.003,0.001,0,0,1.21,1,5
0,0,0,0,0,0.003,0.001,0,0,1.21,1,5
0,0,0,0,0,0.003,0.001,0,0,1.21,1,9
0,0,0,0,0,0.003,0.001,0,0,1.21,1,9
