"Ksl","U:0","U:1","U:2","p","rho","voidfraction","Cell Type"
14608,0,0,0.3,176.72,1.21,1,5
14986,0,0,0.3,184.28,1.21,1,5
12987,0,0,0.3,188.96,1.21,1,9
12984,0,0,0.3,188.66,1.21,1,9
13870,0,0,0.3,190.38,1.21,1,9
13068,0,0,0.3,187.7,1.21,1,9
13158,0,0,0.3,181.14,1.21,1,9
12963,0,0,0.3,183.79,1.21,1,9
13358,0,0,0.3,182.97,1.21,1,9
13799,0,0,0.3,183.59,1.21,1,9
13141,0,0,0.3,176.34,1.21,1,5
13373,0,0,0.3,185.17,1.21,1,9
12983,0,0,0.3,182.68,1.21,1,9
13452,0,0,0.3,185.44,1.21,1,9
13449,0,0,0.3,181.83,1.21,1,9
13800,0,0,0.3,185.23,1.21,1,9
13439,0,0,0.3,189.33,1.21,1,9
13333,0,0,0.3,183.13,1.21,1,9
13336,0,0,0.3,183.8,1.21,1,9
13342,0,0,0.3,190.98,1.21,1,9
14395,0,0,0.3,182.45,1.21,1,5
13817,0,0,0.3,184.35,1.21,1,9
13220,0,0,0.3,185.38,1.21,1,9
14076,0,0,0.3,182.95,1.21,1,5
13900,0,0,0.3,183.89,1.21,1,5
14286,0,0,0.3,176.27,1.21,1,5
13472,0,0,0.3,184.78,1.21,1,9
13317,0,0,0.3,188.43,1.21,1,9
14339,0,0,0.3,188.79,1.21,1,9
13816,0,0,0.3,184.9,1.21,1,9
14374,0,0,0.3,184.8,1.21,1,5
14873,0,0,0.3,184.68,1.21,1,5
13654,0,0,0.3,189.02,1.21,1,9
13915,0,0,0.3,189.04,1.21,1,9
13087,0,0,0.3,183.28,1.21,1,9
13884,0,0,0.3,186.6,1.21,1,9
13992,0,0,0.3,182.32,1.21,1,9
13822,0,0,0.3,171.71,1.21,1,9
13262,0,0,0.3,191.04,1.21,1,9
14719,0,0,0.3,177.61,1.21,1,9
15399,0,0,0.3,176.62,1.21,1,9
15186,0,0,0.3,181.19,1.21,1,5
13140,0,0,0.3,189.54,1.21,1,9
13393,0,0,0.3,186.95,1.21,1,9
14744,0,0,0.3,182.14,1.21,1,5
13187,0,0,0.3,184.52,1.21,1,9
14538,0,0,0.3,175.87,1.21,1,5
13844,0,0,0.3,188.37,1.21,1,9
13472,0,0,0.3,183.16,1.21,1,9
13168,0,0,0.3,186.82,1.21,1,9
15126,0,0,0.3,173.21,1.21,1,9
14365,0,0,0.3,185.72,1.21,1,9
13903,0,0,0.3,185.59,1.21,1,9
13814,0,0,0.3,162.54,1.21,1,9
13624,0,0,0.3,182.91,1.21,1,9
15380,0,0,0.3,172.13,1.21,1,9
14602,0,0,0.3,164.29,1.21,1,9
13193,0,0,0.3,186.99,1.21,1,9
13836,0,0,0.3,182.45,1.21,1,9
13270,0,0,0.3,183.12,1.21,1,9
13646,0,0,0.3,185.89,1.21,1,9
14318,0,0,0.3,178.48,1.21,1,5
13635,0,0,0.3,188.19,1.21,1,9
13460,0,0,0.3,185.6,1.21,1,9
14370,0,0,0.3,186.6,1.21,1,9
13520,0,0,0.3,189.73,1.21,1,9
14743,0,0,0.3,169.62,1.21,1,9
14752,0,0,0.3,172.62,1.21,1,9
14027,0,0,0.3,181.14,1.21,1,9
13963,0,0,0.3,168.67,1.21,1,9
15366,0,0,0.3,170.86,1.21,1,9
14870,0,0,0.3,170.99,1.21,1,9
14953,0,0,0.3,164.66,1.21,1,9
13288,0,0,0.3,182.48,1.21,1,9
13095,0,0,0.3,184.28,1.21,1,9
12734,0,0,0.3,186.39,1.21,1,9
12810,0,0,0.3,177.78,1.21,1,5
13360,0,0,0.3,183.19,1.21,1,9
14176,0,0,0.3,184.28,1.21,1,5
13289,0,0,0.3,188.94,1.21,1,9
14568,0,0,0.3,182.63,1.21,1,5
13389,0,0,0.3,188.65,1.21,1,9
13656,0,0,0.3,172.51,1.21,1,9
13302,0,0,0.3,188.42,1.21,1,9
13584,0,0,0.3,187,1.21,1,9
13341,0,0,0.3,184.69,1.21,1,9
13056,0,0,0.3,186.01,1.21,1,9
13429,0,0,0.3,187.51,1.21,1,9
14030,0,0,0.3,188.72,1.21,1,9
13643,0,0,0.3,188.68,1.21,1,9
13883,0,0,0.3,180.16,1.21,1,5
14166,0,0,0.3,182.39,1.21,1,5
13824,0,0,0.3,186.06,1.21,1,9
13226,0,0,0.3,177.42,1.21,1,5
13372,0,0,0.3,183.95,1.21,1,9
12027,0,0,0.3,176.71,1.21,1,5
