"Ksl","U:0","U:1","U:2","Us:0","Us:1","Us:2","p","rho","voidfraction","Cell Type"
4262.1,0,0,0.6,3.2953e-08,-2.7277e-08,7.4465e-09,5.1382,1.21,1,5
5047.1,0,0,0.6,3.339e-08,-3.8692e-08,-2.266e-10,4.4212,1.21,1,5
3058.1,0,0,0.6,5.5427e-08,-3.9789e-08,-9.8027e-10,4.7957,1.21,1,9
3387.3,0,0,0.6,3.3692e-10,-1.9058e-09,1.7693e-10,4.9837,1.21,1,9
2212.4,0,0,0.6,-2.7564e-08,-5.1587e-08,3.0397e-09,4.3085,1.21,1,9
2105.1,0,0,0.6,4.6309e-09,1.2821e-08,-5.4469e-09,4.5999,1.21,1,9
4643.4,0,0,0.6,1.9502e-09,2.3348e-09,1.1335e-09,5.2745,1.21,1,9
8381.8,0,0,0.6,-2.1912e-08,1.4182e-07,-1.6452e-09,5.7148,1.21,1,9
4982.9,0,0,0.6,-1.0509e-08,-2.1096e-08,2.7922e-09,5.2309,1.21,1,9
3793.8,0,0,0.6,-1.3471e-08,-2.6128e-08,5.5926e-10,4.6915,1.21,1,9
6751.4,0,0,0.6,-8.3463e-09,-1.0268e-08,9.0293e-10,5.6813,1.21,1,5
5121.1,0,0,0.6,-1.3103e-08,3.2058e-08,-9.8625e-10,5.1546,1.21,1,9
4625,0,0,0.6,5.7413e-09,1.6665e-08,1.7254e-10,5.3057,1.21,1,9
6508.7,0,0,0.6,4.8024e-09,2.8989e-08,9.2574e-11,5.5256,1.21,1,9
5492.2,0,0,0.6,1.0924e-08,9.0359e-09,-2.7929e-10,5.3562,1.21,1,9
2308.8,0,0,0.6,3.0297e-09,-1.0594e-08,4.6638e-10,4.4274,1.21,1,9
1813.5,0,0,0.6,-8.5403e-10,-2.1736e-09,3.5936e-10,4.2685,1.21,1,9
3495.9,0,0,0.6,-4.3486e-09,-8.1065e-09,6.3003e-10,4.999,1.21,1,9
4766.6,0,0,0.6,1.2981e-09,3.0163e-09,3.9148e-10,5.2761,1.21,1,9
3901.1,0,0,0.6,5.1109e-09,-3.2519e-09,-1.2992e-10,4.9912,1.21,1,9
4270.8,0,0,0.6,4.2061e-09,-8.0858e-09,1.8141e-09,4.4945,1.21,1,5
5041.3,0,0,0.6,-4.379e-10,-5.1989e-09,-9.3832e-10,4.9052,1.21,1,9
3494,0,0,0.6,3.3933e-09,-1.4421e-09,1.4392e-09,4.533,1.21,1,9
4319.8,0,0,0.6,2.5634e-09,-3.8485e-09,1.0742e-09,4.5226,1.21,1,5
7091.8,0,0,0.6,6.4329e-08,-4.0115e-08,-2.2492e-09,4.4204,1.21,1,5
3952.1,0,0,0.6,2.6678e-11,-7.4504e-09,-7.0116e-09,5.2183,1.21,1,5
4662.9,0,0,0.6,5.0467e-08,-4.2361e-08,-6.5449e-10,4.8112,1.21,1,9
2483.5,0,0,0.6,2.5257e-08,-2.4753e-08,-6.8801e-09,4.4784,1.21,1,9
2318,0,0,0.6,4.678e-08,-2.8564e-08,6.3526e-09,4.4151,1.21,1,9
3285.8,0,0,0.6,2.3072e-08,-8.0464e-08,-9.8902e-09,4.6194,1.21,1,9
4952.3,0,0,0.6,-2.2222e-08,-5.4817e-08,7.5947e-09,4.5431,1.21,1,5
5566.9,0,0,0.6,1.7738e-08,-2.8097e-08,-2.614e-09,4.5248,1.21,1,5
2151.2,0,0,0.6,2.5294e-08,-1.9785e-08,-3.0213e-10,4.2846,1.21,1,9
2346.1,0,0,0.6,1.6512e-08,-2.063e-08,-2.7998e-10,4.3157,1.21,1,9
1879.5,0,0,0.6,6.8206e-09,-9.8357e-09,-1.5873e-11,4.5865,1.21,1,9
4029.3,0,0,0.6,2.9586e-08,-1.1642e-08,-4.4344e-09,5.0384,1.21,1,9
3853,0,0,0.6,3.7246e-09,-2.8755e-08,3.107e-10,5.0697,1.21,1,9
6092,0,0,0.6,-3.1411e-08,5.7819e-08,-3.5239e-10,5.3491,1.21,1,9
2732.1,0,0,0.6,-2.4867e-08,-1.098e-07,4.7443e-09,4.7146,1.21,1,9
6445,0,0,0.6,-4.6894e-08,7.6582e-08,1.0615e-09,5.4106,1.21,1,9
4003.1,0,0,0.6,-1.6441e-08,-6.3535e-08,8.1398e-09,5.0873,1.21,1,9
7609.4,0,0,0.6,-7.2971e-08,-7.6604e-08,5.1881e-09,4.3963,1.21,1,5
2530.6,0,0,0.6,-9.7233e-09,-3.0625e-08,-1.5864e-10,4.7541,1.21,1,9
3069.8,0,0,0.6,-3.9066e-08,-5.9404e-08,-3.5737e-10,4.41,1.21,1,9
6094.8,0,0,0.6,-3.9866e-08,-5.8699e-08,-5.4414e-10,4.6244,1.21,1,5
3156.6,0,0,0.6,7.2671e-09,-6.4568e-09,-4.4356e-09,4.6051,1.21,1,9
5678.9,0,0,0.6,2.4294e-09,-8.7956e-09,-5.7067e-11,5.6726,1.21,1,5
3745.9,0,0,0.6,-6.8015e-08,1.0378e-07,-7.0988e-09,4.5766,1.21,1,9
3674.3,0,0,0.6,1.6561e-08,-1.7963e-09,4.5615e-10,5.0411,1.21,1,9
4200.8,0,0,0.6,-9.5734e-08,1.3022e-07,-1.0948e-08,5.074,1.21,1,9
7962.7,0,0,0.6,1.404e-08,4.8191e-08,-3.2301e-09,5.5215,1.21,1,9
7097,0,0,0.6,-2.0638e-08,8.1135e-08,1.4124e-09,5.5443,1.21,1,9
6736.3,0,0,0.6,3.515e-09,3.2979e-08,-4.3169e-10,5.5017,1.21,1,9
8069.2,0,0,0.6,-2.8431e-08,7.4248e-08,3.0751e-09,5.6405,1.21,1,9
4304.6,0,0,0.6,4.7248e-10,-3.3647e-08,1.8884e-09,5.222,1.21,1,9
7253.8,0,0,0.6,-4.3658e-09,8.7259e-08,3.5619e-10,5.6256,1.21,1,9
5025.8,0,0,0.6,-4.5961e-10,3.481e-10,3.132e-09,5.3265,1.21,1,9
2855.9,0,0,0.6,-2.1128e-08,-2.7276e-08,8.5226e-10,4.747,1.21,1,9
7226.7,0,0,0.6,9.0859e-09,5.1213e-08,4.2332e-09,5.5149,1.21,1,9
3549.9,0,0,0.6,-2.6053e-09,-9.1859e-09,-3.6763e-10,4.9888,1.21,1,9
2815.1,0,0,0.6,-6.7365e-09,-1.4062e-08,8.0141e-10,4.4144,1.21,1,9
5977.9,0,0,0.6,-4.1843e-09,-1.906e-08,2.8905e-09,5.282,1.21,1,5
4904.8,0,0,0.6,-1.8837e-08,8.9907e-09,-7.0126e-10,4.6293,1.21,1,9
4271,0,0,0.6,-2.6995e-09,-7.7941e-09,1.9475e-09,4.7634,1.21,1,9
7045.2,0,0,0.6,-9.965e-10,4.0449e-08,1.4805e-09,5.4435,1.21,1,9
2691.4,0,0,0.6,-4.6514e-09,3.2523e-09,3.0289e-10,4.702,1.21,1,9
2946.6,0,0,0.6,-1.5988e-09,2.6095e-09,1.2637e-10,4.8946,1.21,1,9
5220.8,0,0,0.6,6.6548e-09,1.8988e-08,-3.7465e-10,5.4046,1.21,1,9
3103.2,0,0,0.6,1.0669e-09,-3.524e-09,-5.7291e-10,5.0289,1.21,1,9
5650.5,0,0,0.6,-5.2957e-09,1.9047e-08,7.4139e-10,5.3798,1.21,1,9
5205.3,0,0,0.6,-2.2858e-09,1.8832e-09,1.3723e-10,5.363,1.21,1,9
6393.5,0,0,0.6,-2.0532e-09,1.6496e-08,3.9137e-10,5.4715,1.21,1,9
5916.8,0,0,0.6,7.8629e-11,-9.4204e-10,-1.2728e-10,5.3992,1.21,1,9
3523.6,0,0,0.6,1.0495e-08,-1.4905e-08,-2.2981e-10,5.0087,1.21,1,9
5252.7,0,0,0.6,1.475e-09,-5.8163e-09,-4.5484e-10,5.2574,1.21,1,9
3175.8,0,0,0.6,6.1631e-09,-1.1822e-08,-6.0717e-10,4.8294,1.21,1,9
4224.6,0,0,0.6,6.0392e-09,-1.566e-08,-3.4135e-09,5.2824,1.21,1,5
2499.1,0,0,0.6,3.3118e-09,-1.0177e-08,-8.8061e-10,4.515,1.21,1,9
5171.4,0,0,0.6,-1.0201e-09,-5.9335e-09,3.4809e-11,4.5231,1.21,1,5
2182.1,0,0,0.6,-1.3504e-09,-4.6225e-09,4.0529e-10,4.6712,1.21,1,9
3121.3,0,0,0.6,-1.148e-09,-2.6289e-09,4.1462e-10,4.3675,1.21,1,5
2310.5,0,0,0.6,-1.6637e-09,-3.436e-09,-3.7151e-10,4.3774,1.21,1,9
